Date,Time,LNA Voltage,LNA Thermistor (Ohm),LNA (C),SP4T Voltage,SP4T Thermistor (Ohm),SP4T (C),Load Voltage,Load-thermistor (Ohm),Load (C),Room_Temp(C)
04/23/2021,10:01:00,4.8064550104663795,116408342.71084337,-128.43366024625087,2.407723484793678,9995.629914418301,25.176518955305028,3.0118536239087916,16649.82845596557,22.643806199033065,25.971508711292927
04/23/2021,10:01:30,4.811539352784166,5912953.0453920225,-92.2140005885596,2.4101386090678716,9962.75842792399,25.257073617198955,3.017060079251678,16608.85407743824,22.699066569737113,25.971736601112298
04/23/2021,10:02:00,4.797139883541604,4952833.724191063,-89.76473378248104,2.3983738208517025,9918.650609518132,25.365625688904686,3.0054112367361085,16555.88651219609,22.770731086879778,25.970141372376418
04/23/2021,10:02:30,4.805846912270681,7378781.78460951,-95.22463714884324,2.4200198963817456,10075.463971105732,24.982088253353254,3.0297869700898445,16866.33692008758,22.35434739201355,25.97287605020938
04/23/2021,10:03:00,4.812237493917564,6966882.492617932,-94.44912213833405,2.411916031988767,9979.628552235066,25.21569524377651,3.0324438534844376,16842.155029147878,22.386467588132632,25.97196449093167
04/23/2021,10:03:30,4.8212763247047405,3167735.2890995257,-83.42200706157769,2.4028870689207906,9834.768291106679,25.573541961042906,3.0320022730502387,16674.28076092767,22.610901833087098,25.9754967831326
04/23/2021,10:04:01,4.77966045244375,8263195.241023435,-96.74214735911286,2.3633249157182945,9718.419786182041,25.86519177296651,2.9954510076686347,16606.00684765838,22.702912246472806,25.985182100457564
04/23/2021,10:04:31,4.780776738178247,3546553.8200941044,-85.04767953709643,2.3540874970822188,9609.07654628036,26.14281341064725,3.0008375488869206,16604.676452442054,22.704709431770596,25.988258613019582
04/23/2021,10:05:01,4.780197009675248,9597112.458426965,-98.72636629695234,2.3474354208765362,9591.188946639788,26.188561401792924,2.997594769664829,16640.24031744323,22.656723479523123,25.98928411720692
04/23/2021,10:05:31,4.789502268880824,3368135.1047752313,-84.30674632279121,2.349411431646331,9534.753665799692,26.33351530712889,3.0039927521011123,16563.90614740334,22.759863927208926,25.990309621394317
04/23/2021,10:06:01,4.781360167075945,8166055.240016992,-96.58429563445219,2.354003621469019,9635.963287497623,26.074226298600422,2.99730367194843,16617.044751999536,22.688007811647196,25.992132739949568
04/23/2021,10:06:31,4.776763043393657,6401470.613999999,-93.2995712429869,2.35359904498182,9644.608777996445,26.052216803948113,2.9977464858475287,16651.561534552424,22.641472270048098,26.00033677344834
04/23/2021,10:07:01,4.793936575196312,19517423.796455696,-107.80874165751985,2.3629141719065956,9671.266301174333,25.984489433419242,3.0053507969560087,16650.883182452093,22.64238577091237,25.9997670488998
04/23/2021,10:07:31,4.805825943367381,13251890.123456791,-102.9214709490335,2.3614340140265995,9607.839552080877,26.145974030288926,3.01241608390319,16634.4431252604,22.664537635177965,26.00512245965598
04/23/2021,10:08:01,4.782148351147043,11233457.689745838,-100.78723497141627,2.3630202498879953,9712.04293445868,25.88128774355198,2.9971544226955302,16622.231204340944,22.68100844248636,26.000678608177452
04/23/2021,10:08:31,4.77960001266365,13423553.993712889,-103.086477454824,2.3572649026646104,9678.33895100902,25.966554881855245,3.000319493628922,16699.5575081519,22.57694549825868,26.008540806947167
04/23/2021,10:09:01,4.790146137558622,31831763.623140495,-113.76346661143216,2.361690574725799,9680.222617255275,25.961780791554247,3.008226003637901,16737.924915067615,22.525514579167236,26.00933842131508
04/23/2021,10:09:31,4.772740714354768,7889901.5390625,-96.12418748675125,2.3636369823379937,9747.750455443178,25.791307207092586,2.996530289456132,16684.10013004531,22.59770373997958,26.01412410752266
04/23/2021,10:10:01,4.784827436909836,19760486.681047767,-107.96240073577607,2.3708922228797746,9772.680212130477,25.728701146951437,2.99725433335243,16615.740668947117,22.689768124653654,26.01389621770329
04/23/2021,10:10:31,4.790197943084422,3460322.571197557,-84.69475480650027,2.3766451031733595,9752.216670215366,25.78007823317421,3.009003086524899,16634.87056045641,22.663961380997534,26.015833281168284
04/23/2021,10:11:02,4.7908442786920205,2578622.904612089,-80.42058731722346,2.3689618503112797,9668.799515572544,25.990748015709073,3.010107037610396,16601.762028785994,22.708646997322205,26.01993529791764
04/23/2021,10:11:32,4.783020410831341,14097924.376099706,-103.71327153030009,2.375647230069262,9815.021663450065,25.62277169285079,2.996801651734131,16616.86100441187,22.688255833356493,26.023011810479716
04/23/2021,10:12:02,4.787664406179829,5535875.606557377,-91.30736248367955,2.3679565764177823,9712.55192591953,25.880002557487046,3.00113358046292,16589.666397771514,22.724997317305792,26.025062818854394
04/23/2021,10:12:32,4.775150904769362,4101245.5520187994,-87.11634728182088,2.374247247407766,9802.271257310824,25.65461742566316,2.998844269608526,16644.270804860025,22.65129252027333,26.030874009249374
04/23/2021,10:13:02,4.789884642999823,13212463.591080617,-102.88324647382774,2.385674066241336,9868.449720219643,25.489822812862485,3.005988498309307,16687.307669323603,22.593394433729316,26.030646119430003
04/23/2021,10:13:32,4.788610473758126,5823364.5,-92.00438947514755,2.3716619049773726,9740.510200189106,25.809522745212178,2.9996682241617236,16563.208640510216,22.76080886038079,26.036457309824982
04/23/2021,10:14:02,4.781256556024346,13121145.03686007,-102.79423555097702,2.3777441203992566,9838.424178946008,25.564439535763597,2.996099810206033,16620.51865466832,22.68331933758344,26.03873620801903
04/23/2021,10:14:32,4.780518944014148,4592475.984946236,-88.7093954865727,2.3790145892462533,9824.49031569128,25.599152058723178,2.999502939865124,16615.53134616325,22.69005069303836,26.03896409783846
